#kernel nHops datarate(Mbps) packets time(s)
-1         4         5        42617   0.85
-1         4         10        85100   1.72
-1         4         15        127651   2.50
-1         4         20        170168   3.30
-1         4         25        212656   4.29
-1         4         30        255202   5.05
-1         4         35        297619   5.75
-1         4         40        340236   6.95
-1         4         45        382753   7.56
-1         4         50        425269   8.91
-1         4         60        510205   10.96
-1         4         70        595239   12.67
-1         4         80        680355   14.56
-1         4         90        765308   16.28
-1         4         100        850343   18.04 
