#kernel nHops datarate(Mbps) packets time(s)
0         4         5        42617   4.30
0         4         10        85100   6.83
0         4         15        127651   9.79
0         4         20        170168   13.07
0         4         25        212656   17.22
0         4         30        255202   22.91
0         4         35        297619   24.61
0         4         40        340236   28.51
0         4         45        382753   31.64
0         4         50        425269   35.72
0         4         60        510205   42.29
0         4         70        595239   49.16
0         4         80        680355   57.15
0         4         90        765308   62.54
0         4         100        850343   69.73 
