#kernel nHops datarate(Mbps) packets time(s)
1         4         5        42617   15.77
1         4         10        85100   29.63
1         4         15        127651   47.60
1         4         20        170168   64.06
1         4         25        212656   77.51
1         4         30        255202   91.23
1         4         35        297619   108.90
1         4         40        340236   122.82
1         4         45        382753   136.10
1         4         50        425269   153.64
1         4         60        510205   183.70
1         4         70        595239   212.14
1         4         80        680355   244.46
1         4         90        765308   272.60
1         4         100        850343   304.95
